year,exported_at,FAC_NO,FAC_NAME,FAC_STR_ADDR,FAC_CITY,FAC_ZIP,FAC_PHONE,LICENSE_NO,LICENSE_STATUS,LIC_CAT,HHAH_LICEE_TOC,HHAH_MEDI_CAL_VISITS,HHAH_MEDICARE_VISITS,HOSPICE_PATS_PAID_BY_MEDI_CAL,HOSPICE_PATS_PAID_BY_MEDICARE,HOSPICE_MEDI_CAL_REVENUE,HOSPICE_MEDICARE_REVENUE,HOSPICE_TOT_OPER_REVENUE,HOSPICE_NET_INCOME
2024,2026-01-16T17:15:21Z,406010020,AMERICAN HEALTHCARE PROFESSIONAL GROUP,"11700 DUBLIN BLVD, STE 130",DUBLIN,94568,9253618506,550003804,Open,Home Health Agency,,,,,,,,,
2024,2026-01-16T17:15:21Z,406010021,ZENITH HEALTHCARE INC.,"5994 W LAS POSITAS BLVD, STE 119",PLEASONTON,94588,925-201-1547,550007601,Open,Hospice,,,,0,75,0,1999836,2091320,695876
2024,2026-01-16T17:15:21Z,406010022,TRULIFE HOME HEALTH CARE,"26250 INDUSTRIAL BLVD, STE 45",HAYWARD,94545,5105528540,550008155,Open,Home Health Agency,Investor - Limited Liability Company,0,580,,,,,,
2024,2026-01-16T17:15:21Z,406010023,GENTIVA,"5000 HOPYARD RD, STE 301",PLEASANTON,94588,9257370203,550000790,Open,Hospice,,,,16,178,507506,4199574,4661087,2273362
2024,2026-01-16T17:15:21Z,406010024,"AFFINITY HOSPICE CARE, INC.",26234 INDUSTRIAL BLVD,HAYWARD,94545,5105199285,550005930,Open,Hospice,,,,2,105,0,2868346,3721488,37381
2024,2026-01-16T17:15:21Z,406010025,"DIVINE GLOBAL CARE HOME HEALTH, LLC","3939 SMITH ST, STE 1 A",UINION CITY,94587,510-431-3008,550009233,Open,Home Health Agency,Investor - Limited Liability Company,,,,,,,,
2024,2026-01-16T17:15:21Z,406010030,ALOHA HOME HEALTH SERVICES,"777 SOUTHLAND DR, STE 247 & 249",HAYWARD,94545,5102447279,550009369,Open,Home Health Agency,Investor - Corporation,0,0,,,,,,
2024,2026-01-16T17:15:21Z,406010031,A1 PRO HOME HEALTH INC.,"24301 SOUTHLAND DR, STE 404",HAYWARD,94545,5108261888,550009429,Open,Home Health Agency,Investor - Individual,,,,,,,,
2024,2026-01-16T17:15:21Z,406010032,"DIRECT HOSPICE CARE, INC.","11700 DUBLIN BLVD, STE 100/110",DUBLIN,94568,9253647342,550005273,Open,Hospice,,,,15,120,1054756,3153617,4208373,561911
2024,2026-01-16T17:15:21Z,406010659,"HOLISTIC PALLIATIVE CARE, INC.","5707 REDWOOD RD, STE 1",OAKLAND,94619,5105005568,550004188,Open,Hospice,,,,8,226,868589,2767286,3790454,1521233
