state,facid,npi,hcai_id,license_number,facility_name,business_name,contact_email,license_status,license_effective_date,license_expiration_date,address,city,zip,county,phone,lat,lng,category_name,category_code,data_date,exported_at,source_file
CA,630006081,1356348890,,100000174,BARTON HEALTHCARE SYSTEM HOSPICE,BARTON HEALTHCARE SYSTEM,RSCHMIDT@BARTONHEALTH.ORG,ACTIVE,02/23/2025,02/22/2026,155 US HIGHWAY 50,STATELINE,89449,EL DORADO,(775) 782-1510,38.968407,-119.9353005,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630023077,,406195816,550007849,"BRIGHT HORIZON HOME HEALTH, INC.","BRIGHT HORIZON HOME HEALTH, INC.",BRIGHTHORIZONHOMEHEALTH1@GMAIL.COM,ACTIVE,02/15/2025,02/14/2026,"4711 OAKWOOD AVE, SUITE 202D",LOS ANGELES,90004,LOS ANGELES,(310) 507-1812,34.077618,-118.309698,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630025469,,406190272,550008980,"BRIGHT SUNRISE HOME HEALTH, INC.","BRIGHT SUNRISE HOME HEALTH, INC",BRIGHTSUNRISEHH@GMAIL.COM,ACTIVE,07/22/2024,01/21/2025,"4711 OAKWOOD AVE, SUITE 202C",LOS ANGELES,90004,LOS ANGELES,(310) 507-1019,34.077618,-118.309698,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630023109,,406195418,550007892,"GOLDEN HORIZON HOME HEALTH CARE, INC.","GOLDEN HORIZON HOME HEALTH CARE, INC.",GOLDENHORIZONHOMEHEALTH@GMAIL.COM,ACTIVE,03/10/2025,03/09/2026,"4711 OAKWOOD AVE, SUITE 202A",LOS ANGELES,90004,LOS ANGELES,(310) 507-1986,34.077618,-118.309698,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630025472,,406190274,550008975,"GOLDEN RULE HOME HEALTH, INC.","GOLDEN RULE HOME HEALTH, INC.",GOLDENRULEHH@GMAIL.COM,ACTIVE,01/22/2024,01/21/2025,"4711 OAKWOOD AVE, SUITE 202B",LOS ANGELES,90004,LOS ANGELES,(310) 507-1987,34.077618,-118.309698,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630026467,,,550009411,"HOLLYWOOD HOME HEALTH CARE, INC","HOLLYWOOD HOME HEALTH CARE, INC",HOLLYHHEALTH21@GMAIL.COM,ACTIVE,09/27/2025,09/26/2026,"4711 OAKWOOD AVE, SUITE 205",LOS ANGELES,90004,LOS ANGELES,(224) 880-0008,34.077618,-118.309698,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630018498,,406192455,550005229,"QUICK CARE SOLUTIONS, INC.","QUICK CARE SOLUTIONS, INC.",QUICKCARESOL@GMAIL.COM,ACTIVE,01/08/2025,01/07/2026,"3806 BEVERLY BLVD, SUITE 215",LOS ANGELES,90004,LOS ANGELES,(747) 253-0029,34.076196,-118.2920085,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630011517,,406197543,550001595,"SIERRA HOSPICE CARE, INC.","SIERRA HOSPICE CARE, INC.",YOUNGTPARK@YAHOO.COM,ACTIVE,05/18/2025,05/17/2027,222 N HARVARD BLVD,LOS ANGELES,90004,LOS ANGELES,(213) 380-1100,34.076007,-118.3039785,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630024909,,406196346,550008475,"DIAMOND HOME HEALTH CARE, INC","DIAMOND HOME HEALTH CARE, INC",DIAMONDHHCARE@GMAIL.COM,ACTIVE,09/09/2023,03/08/2024,"742 S VERMONT AVE, SUITE 2",LOS ANGELES,90005,LOS ANGELES,(747) 054-6055,34.058529,-118.291464,HOME HEALTH AGENCY,HHA,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
CA,630015636,1154720522,406198431,550003865,"ELIM WELLCARE HOSPICE, LLC","ELIM WELLCARE HOSPICE, LLC",ELIMWELLCARE@GMAIL.COM,ACTIVE,05/12/2025,05/11/2027,"690 WILSHIRE PL, SUITE 307",LOS ANGELES,90005,LOS ANGELES,(626) 793-7511,34.060194,-118.287639,HOSPICE,HOSPICE,10/18/2025,2026-01-16T17:15:14Z,D:\somacosf\outputs\hippocratic\data\derived\state\CA\all.min.json
